"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,286834,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,436934,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,154127,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,140662,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,71914236,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,83546162,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,52757885,,
"AUS","Australia","EXP","Exports","ISL","Iceland","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,50566146,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,16847330,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,17533894,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,20903052,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,21178759,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,12446388,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,20626680,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,14787383,,
"AUS","Australia","EXP","Exports","IRL","Ireland","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,69125297,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,140608125,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,147250504,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,202732818,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,231221439,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,234264806,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2022-Q2","Q2-2022","USD","US Dollar","0","Units",,,219444263,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2022-Q3","Q3-2022","USD","US Dollar","0","Units",,,211752138,,
"AUS","Australia","EXP","Exports","ITA","Italy","Q","Quarterly","2022-Q4","Q4-2022","USD","US Dollar","0","Units",,,204856439,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2021-Q1","Q1-2021","USD","US Dollar","0","Units",,,5215725936,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2021-Q2","Q2-2021","USD","US Dollar","0","Units",,,6835914865,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2021-Q3","Q3-2021","USD","US Dollar","0","Units",,,8731107597,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2021-Q4","Q4-2021","USD","US Dollar","0","Units",,,9530649623,,
"AUS","Australia","EXP","Exports","JPN","Japan","Q","Quarterly","2022-Q1","Q1-2022","USD","US Dollar","0","Units",,,9947295063,,
